Name,Tier,Serial,,
Najee Harris,Legendary,7,,
Najee Harris,Rare,20,,
Nick Bosa,Rare,31,,
Nick Chubb,Rare,30,,
Nick Chubb,Core,277,,
Nick Chubb,Rare,116,,
Nick Chubb,Core,99,,
Nick Folk,Rare,97,,
Nick Folk,Rare,89,,
Nick Folk,Core,258,,
Nick Folk,Elite,28,,
Nick Folk,Elite,30,,
Nick Westbrook-Ikhine,Elite,17,,
Nick Westbrook-Ikhine,Core,67,,
Nick Westbrook-Ikhine,Core,336,,
Nick Westbrook-Ikhine,Core,4,,
Nick Westbrook-Ikhine,Core,77,,
Nick Westbrook-Ikhine,Core,128,,
Nick Westbrook-Ikhine,Core,510,,
Nico Collins,Core,328,,
Nico Collins,Core,97,,
